case01,71.2000,71.2000,800.0000,0.0000,71.2,10,0.00
case02,384.8000,386.4800,799.9473,2.5662,384.8,7,0.00
case03,239.2000,245.6000,798.5620,3.9679,239.2,2,0.00
case04,274.8000,287.6800,820.0900,6.1600,274.8,1,0.00
